date,symbol,expirations_near_target,target_dte,tolerance,has_target_expiry
2019-02-09,DIA,22,30,5,True
2019-02-16,DIA,22,30,5,True
2019-02-23,DIA,22,30,5,True
2019-03-02,DIA,22,30,5,True
2019-03-09,DIA,22,30,5,True
2019-03-16,DIA,22,30,5,True
2019-03-23,DIA,22,30,5,True
2019-03-30,DIA,22,30,5,True
2019-04-06,DIA,22,30,5,True
2019-04-13,DIA,22,30,5,True
2019-04-20,DIA,22,30,5,True
2019-04-27,DIA,22,30,5,True
2019-05-04,DIA,22,30,5,True
2019-05-10,DIA,22,30,5,True
2019-05-11,DIA,22,30,5,True
2019-05-18,DIA,22,30,5,True
2019-05-25,DIA,22,30,5,True
2019-06-01,DIA,22,30,5,True
2019-06-08,DIA,22,30,5,True
2019-06-15,DIA,22,30,5,True
2019-06-22,DIA,22,30,5,True
2019-06-30,DIA,22,30,5,True
2019-07-06,DIA,22,30,5,True
2019-07-13,DIA,22,30,5,True
2019-07-20,DIA,22,30,5,True
2019-07-27,DIA,22,30,5,True
2019-08-03,DIA,22,30,5,True
2019-08-10,DIA,22,30,5,True
2019-08-17,DIA,22,30,5,True
2019-08-24,DIA,22,30,5,True
2019-08-31,DIA,22,30,5,True
2019-09-07,DIA,20,30,5,True
2019-09-14,DIA,22,30,5,True
2019-09-21,DIA,22,30,5,True
2019-09-28,DIA,22,30,5,True
2019-10-05,DIA,22,30,5,True
2019-10-12,DIA,22,30,5,True
2019-10-19,DIA,22,30,5,True
2019-10-26,DIA,22,30,5,True
2019-11-02,DIA,22,30,5,True
2019-11-09,DIA,22,30,5,True
2019-11-16,DIA,22,30,5,True
2019-11-23,DIA,22,30,5,True
2019-11-30,DIA,22,30,5,True
2019-12-07,DIA,22,30,5,True
2019-12-14,DIA,22,30,5,True
2019-12-21,DIA,22,30,5,True
2019-12-28,DIA,22,30,5,True
2020-01-04,DIA,22,30,5,True
2020-01-06,DIA,22,30,5,True
2020-01-08,DIA,22,30,5,True
2020-01-10,DIA,22,30,5,True
2020-01-13,DIA,22,30,5,True
2020-01-15,DIA,22,30,5,True
2020-01-17,DIA,22,30,5,True
2020-01-20,DIA,22,30,5,True
2020-01-22,DIA,22,30,5,True
2020-01-24,DIA,22,30,5,True
2020-01-27,DIA,22,30,5,True
2020-01-29,DIA,22,30,5,True
2020-01-31,DIA,22,30,5,True
2020-02-03,DIA,22,30,5,True
2020-02-05,DIA,22,30,5,True
2020-02-07,DIA,22,30,5,True
2020-02-10,DIA,22,30,5,True
2020-02-12,DIA,22,30,5,True
2020-02-14,DIA,22,30,5,True
2020-02-19,DIA,22,30,5,True
2020-02-21,DIA,22,30,5,True
2020-02-24,DIA,22,30,5,True
2020-02-26,DIA,18,30,5,True
2020-02-28,DIA,22,30,5,True
2020-03-02,DIA,22,30,5,True
2020-03-04,DIA,22,30,5,True
2020-03-06,DIA,22,30,5,True
2020-03-09,DIA,22,30,5,True
2020-03-11,DIA,22,30,5,True
2020-03-13,DIA,22,30,5,True
2020-03-16,DIA,0,30,5,False
2020-03-18,DIA,26,30,5,True
2020-03-20,DIA,26,30,5,True
2020-03-23,DIA,26,30,5,True
2020-03-25,DIA,26,30,5,True
2020-03-27,DIA,54,30,5,True
2020-03-30,DIA,54,30,5,True
2020-04-01,DIA,54,30,5,True
2020-04-03,DIA,54,30,5,True
2020-04-06,DIA,54,30,5,True
2020-04-08,DIA,54,30,5,True
2020-04-10,DIA,54,30,5,True
2020-04-13,DIA,52,30,5,True
2020-04-15,DIA,54,30,5,True
2020-04-17,DIA,52,30,5,True
2020-04-20,DIA,54,30,5,True
2020-04-22,DIA,54,30,5,True
2020-04-24,DIA,50,30,5,True
2020-04-27,DIA,52,30,5,True
2020-04-29,DIA,50,30,5,True
2020-05-01,DIA,54,30,5,True
2020-05-04,DIA,54,30,5,True
2020-05-06,DIA,54,30,5,True
2020-05-08,DIA,54,30,5,True
2020-05-11,DIA,54,30,5,True
2020-05-13,DIA,54,30,5,True
2020-05-15,DIA,54,30,5,True
2020-05-18,DIA,52,30,5,True
2020-05-20,DIA,54,30,5,True
2020-05-22,DIA,54,30,5,True
2020-05-25,DIA,54,30,5,True
2020-05-27,DIA,48,30,5,True
2020-05-29,DIA,52,30,5,True
2020-06-01,DIA,54,30,5,True
2020-06-03,DIA,54,30,5,True
2020-06-05,DIA,48,30,5,True
2020-06-09,DIA,48,30,5,True
2020-06-10,DIA,50,30,5,True
2020-06-12,DIA,54,30,5,True
2020-06-15,DIA,54,30,5,True
2020-06-17,DIA,54,30,5,True
2020-06-19,DIA,54,30,5,True
2020-06-22,DIA,54,30,5,True
2020-06-24,DIA,54,30,5,True
2020-06-26,DIA,54,30,5,True
2020-06-29,DIA,54,30,5,True
2020-07-01,DIA,54,30,5,True
2020-07-03,DIA,54,30,5,True
2020-07-06,DIA,54,30,5,True
2020-07-08,DIA,52,30,5,True
2020-07-10,DIA,52,30,5,True
2020-07-13,DIA,52,30,5,True
2020-07-15,DIA,48,30,5,True
2020-07-17,DIA,50,30,5,True
2020-07-20,DIA,50,30,5,True
2020-07-22,DIA,54,30,5,True
2020-07-24,DIA,54,30,5,True
2020-07-27,DIA,54,30,5,True
2020-07-29,DIA,52,30,5,True
2020-07-31,DIA,54,30,5,True
2020-08-03,DIA,52,30,5,True
2020-08-05,DIA,50,30,5,True
2020-08-07,DIA,50,30,5,True
2020-08-10,DIA,48,30,5,True
2020-08-12,DIA,48,30,5,True
2020-08-14,DIA,50,30,5,True
2020-08-17,DIA,50,30,5,True
2020-08-19,DIA,54,30,5,True
2020-08-21,DIA,54,30,5,True
2020-08-24,DIA,54,30,5,True
2020-08-26,DIA,50,30,5,True
2020-08-28,DIA,50,30,5,True
2020-08-31,DIA,54,30,5,True
2020-09-02,DIA,52,30,5,True
2020-09-04,DIA,52,30,5,True
2020-09-07,DIA,52,30,5,True
2020-09-09,DIA,54,30,5,True
2020-09-11,DIA,54,30,5,True
2020-09-14,DIA,52,30,5,True
2020-09-16,DIA,54,30,5,True
2020-09-18,DIA,54,30,5,True
2020-09-21,DIA,54,30,5,True
2020-09-23,DIA,54,30,5,True
2020-09-25,DIA,54,30,5,True
2020-09-28,DIA,54,30,5,True
2020-09-30,DIA,52,30,5,True
2020-10-02,DIA,52,30,5,True
2020-10-05,DIA,50,30,5,True
2020-10-07,DIA,50,30,5,True
2020-10-09,DIA,50,30,5,True
2020-10-12,DIA,48,30,5,True
2020-10-14,DIA,50,30,5,True
2020-10-16,DIA,50,30,5,True
2020-10-19,DIA,50,30,5,True
2020-10-21,DIA,54,30,5,True
2020-10-23,DIA,54,30,5,True
2020-10-26,DIA,54,30,5,True
2020-10-28,DIA,54,30,5,True
2020-10-30,DIA,54,30,5,True
2020-11-02,DIA,54,30,5,True
2020-11-04,DIA,52,30,5,True
2020-11-06,DIA,50,30,5,True
2020-11-09,DIA,48,30,5,True
2020-11-11,DIA,46,30,5,True
2020-11-13,DIA,50,30,5,True
2020-11-16,DIA,48,30,5,True
2020-11-18,DIA,54,30,5,True
2020-11-20,DIA,54,30,5,True
2020-11-23,DIA,54,30,5,True
2020-11-25,DIA,48,30,5,True
2020-11-27,DIA,48,30,5,True
2020-11-30,DIA,50,30,5,True
2020-12-02,DIA,50,30,5,True
2020-12-04,DIA,48,30,5,True
2020-12-07,DIA,0,30,5,False
2020-12-09,DIA,48,30,5,True
2020-12-11,DIA,48,30,5,True
2020-12-16,DIA,54,30,5,True
2020-12-18,DIA,54,30,5,True
2020-12-21,DIA,54,30,5,True
2020-12-23,DIA,48,30,5,True
2020-12-25,DIA,50,30,5,True
2020-12-28,DIA,50,30,5,True
2020-12-30,DIA,48,30,5,True
2021-01-01,DIA,48,30,5,True
2021-01-04,DIA,50,30,5,True
2021-01-06,DIA,48,30,5,True
2021-01-08,DIA,48,30,5,True
2021-01-11,DIA,48,30,5,True
2021-01-13,DIA,48,30,5,True
2021-01-15,DIA,50,30,5,True
2021-01-18,DIA,50,30,5,True
2021-01-20,DIA,54,30,5,True
2021-01-22,DIA,54,30,5,True
2021-01-25,DIA,54,30,5,True
2021-01-27,DIA,50,30,5,True
2021-01-29,DIA,52,30,5,True
2021-02-01,DIA,50,30,5,True
2021-02-03,DIA,50,30,5,True
2021-02-05,DIA,48,30,5,True
2021-02-08,DIA,48,30,5,True
2021-02-10,DIA,48,30,5,True
2021-02-12,DIA,48,30,5,True
2021-02-15,DIA,48,30,5,True
2021-02-17,DIA,54,30,5,True
2021-02-19,DIA,54,30,5,True
2021-02-22,DIA,54,30,5,True
2021-02-24,DIA,46,30,5,True
2021-02-26,DIA,52,30,5,True
2021-03-01,DIA,50,30,5,True
2021-03-03,DIA,50,30,5,True
2021-03-05,DIA,50,30,5,True
2021-03-08,DIA,0,30,5,False
2021-03-10,DIA,46,30,5,True
2021-03-12,DIA,46,30,5,True
2021-03-15,DIA,46,30,5,True
2021-03-17,DIA,50,30,5,True
2021-03-22,DIA,52,30,5,True
2021-03-24,DIA,48,30,5,True
2021-03-26,DIA,46,30,5,True
2021-03-29,DIA,46,30,5,True
2021-03-31,DIA,46,30,5,True
2021-04-02,DIA,46,30,5,True
2021-04-05,DIA,46,30,5,True
2021-04-07,DIA,46,30,5,True
2021-04-09,DIA,46,30,5,True
2021-04-12,DIA,46,30,5,True
2021-04-14,DIA,46,30,5,True
2021-04-16,DIA,46,30,5,True
2021-04-19,DIA,46,30,5,True
2021-04-21,DIA,52,30,5,True
2021-04-23,DIA,52,30,5,True
2021-04-26,DIA,52,30,5,True
2021-04-28,DIA,48,30,5,True
2021-04-30,DIA,48,30,5,True
2021-05-03,DIA,46,30,5,True
2021-05-05,DIA,46,30,5,True
2021-05-07,DIA,46,30,5,True
2021-05-14,DIA,46,30,5,True
2021-05-17,DIA,48,30,5,True
2021-05-19,DIA,54,30,5,True
2021-05-21,DIA,54,30,5,True
2021-05-24,DIA,54,30,5,True
2021-05-26,DIA,48,30,5,True
2021-05-28,DIA,46,30,5,True
2021-05-31,DIA,48,30,5,True
2021-06-02,DIA,48,30,5,True
2021-06-04,DIA,46,30,5,True
2021-06-07,DIA,46,30,5,True
2021-06-09,DIA,44,30,5,True
2021-06-11,DIA,44,30,5,True
2021-06-14,DIA,44,30,5,True
2021-06-16,DIA,54,30,5,True
