date,symbol,expirations_near_target,target_dte,tolerance,has_target_expiry
2019-02-09,SPY,22,30,5,True
2019-02-16,SPY,22,30,5,True
2019-02-23,SPY,22,30,5,True
2019-03-02,SPY,22,30,5,True
2019-03-09,SPY,22,30,5,True
2019-03-16,SPY,22,30,5,True
2019-03-23,SPY,22,30,5,True
2019-03-30,SPY,22,30,5,True
2019-04-06,SPY,22,30,5,True
2019-04-13,SPY,20,30,5,True
2019-04-20,SPY,22,30,5,True
2019-04-27,SPY,22,30,5,True
2019-05-04,SPY,22,30,5,True
2019-05-10,SPY,22,30,5,True
2019-05-11,SPY,22,30,5,True
2019-05-18,SPY,22,30,5,True
2019-05-25,SPY,42,30,5,True
2019-06-01,SPY,22,30,5,True
2019-06-08,SPY,22,30,5,True
2019-06-15,SPY,22,30,5,True
2019-06-22,SPY,22,30,5,True
2019-06-30,SPY,20,30,5,True
2019-07-06,SPY,22,30,5,True
2019-07-13,SPY,22,30,5,True
2019-07-20,SPY,22,30,5,True
2019-07-27,SPY,22,30,5,True
2019-08-03,SPY,22,30,5,True
2019-08-10,SPY,22,30,5,True
2019-08-17,SPY,22,30,5,True
2019-08-24,SPY,22,30,5,True
2019-08-31,SPY,22,30,5,True
2019-09-07,SPY,20,30,5,True
2019-09-14,SPY,22,30,5,True
2019-09-21,SPY,22,30,5,True
2019-09-28,SPY,22,30,5,True
2019-10-05,SPY,20,30,5,True
2019-10-12,SPY,22,30,5,True
2019-10-19,SPY,22,30,5,True
2019-10-26,SPY,22,30,5,True
2019-11-02,SPY,22,30,5,True
2019-11-09,SPY,22,30,5,True
2019-11-16,SPY,22,30,5,True
2019-11-23,SPY,22,30,5,True
2019-11-30,SPY,22,30,5,True
2019-12-07,SPY,22,30,5,True
2019-12-14,SPY,22,30,5,True
2019-12-21,SPY,22,30,5,True
2019-12-28,SPY,22,30,5,True
2020-01-04,SPY,22,30,5,True
2020-01-06,SPY,20,30,5,True
2020-01-08,SPY,18,30,5,True
2020-01-10,SPY,22,30,5,True
2020-01-13,SPY,20,30,5,True
2020-01-15,SPY,20,30,5,True
2020-01-17,SPY,20,30,5,True
2020-01-20,SPY,20,30,5,True
2020-01-22,SPY,20,30,5,True
2020-01-24,SPY,22,30,5,True
2020-01-27,SPY,20,30,5,True
2020-01-29,SPY,22,30,5,True
2020-01-31,SPY,22,30,5,True
2020-02-03,SPY,22,30,5,True
2020-02-05,SPY,20,30,5,True
2020-02-07,SPY,22,30,5,True
2020-02-10,SPY,20,30,5,True
2020-02-12,SPY,20,30,5,True
2020-02-14,SPY,22,30,5,True
2020-02-19,SPY,20,30,5,True
2020-02-21,SPY,22,30,5,True
2020-02-24,SPY,22,30,5,True
2020-02-26,SPY,22,30,5,True
2020-02-28,SPY,22,30,5,True
2020-03-02,SPY,22,30,5,True
2020-03-04,SPY,22,30,5,True
2020-03-06,SPY,22,30,5,True
2020-03-09,SPY,22,30,5,True
2020-03-11,SPY,22,30,5,True
2020-03-13,SPY,22,30,5,True
2020-03-16,SPY,22,30,5,True
2020-03-18,SPY,26,30,5,True
2020-03-20,SPY,26,30,5,True
2020-03-23,SPY,26,30,5,True
2020-03-25,SPY,26,30,5,True
2020-03-27,SPY,54,30,5,True
2020-03-30,SPY,50,30,5,True
2020-04-01,SPY,54,30,5,True
2020-04-03,SPY,54,30,5,True
2020-04-06,SPY,50,30,5,True
2020-04-08,SPY,42,30,5,True
2020-04-10,SPY,48,30,5,True
2020-04-13,SPY,44,30,5,True
2020-04-15,SPY,46,30,5,True
2020-04-17,SPY,54,30,5,True
2020-04-20,SPY,44,30,5,True
2020-04-22,SPY,48,30,5,True
2020-04-24,SPY,50,30,5,True
2020-04-27,SPY,46,30,5,True
2020-05-01,SPY,54,30,5,True
2020-05-04,SPY,50,30,5,True
2020-05-06,SPY,48,30,5,True
