date,symbol,expirations_near_target,target_dte,tolerance,has_target_expiry
2026-04-01,SPY,54,30,5,True
2026-04-02,SPY,54,30,5,True
2026-04-03,SPY,54,30,5,True
2026-04-06,SPY,54,30,5,True
2026-04-07,SPY,54,30,5,True
2026-04-08,SPY,54,30,5,True
2026-04-09,SPY,54,30,5,True
2026-04-10,SPY,54,30,5,True
2026-04-13,SPY,54,30,5,True
2026-04-14,SPY,54,30,5,True
2026-04-15,SPY,54,30,5,True
2026-04-16,SPY,54,30,5,True
2026-04-17,SPY,54,30,5,True
2026-04-20,SPY,54,30,5,True
2026-04-21,SPY,54,30,5,True
2026-04-22,SPY,54,30,5,True
2026-04-23,SPY,54,30,5,True
2026-04-24,SPY,54,30,5,True
2026-04-27,SPY,54,30,5,True
2026-04-28,SPY,54,30,5,True
2026-04-29,SPY,54,30,5,True
2026-04-30,SPY,52,30,5,True
2026-05-04,SPY,52,30,5,True
2026-05-05,SPY,52,30,5,True
2026-05-06,SPY,52,30,5,True
2026-05-07,SPY,52,30,5,True
2026-05-08,SPY,52,30,5,True
2026-05-11,SPY,52,30,5,True
2026-05-12,SPY,52,30,5,True
2026-05-15,SPY,52,30,5,True
2026-05-18,SPY,54,30,5,True
2026-05-19,SPY,54,30,5,True
2026-05-20,SPY,54,30,5,True
2026-05-21,SPY,54,30,5,True
