date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2019-05-10,put_credit_spread,-2.0965,0.0,-2.0965,1,-2.0965
2019-05-13,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-14,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-15,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-16,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-17,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-20,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-21,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-22,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-23,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-24,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-28,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-29,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-30,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-05-31,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-06-03,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-06-04,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-06-05,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-06-06,put_credit_spread,0.0,0.0,0.0,1,-2.0965
2019-06-07,put_credit_spread,191.0,0.0,191.0,1,188.9035
2020-01-06,put_credit_spread,-2.056,0.0,-2.056,1,186.8475
2020-01-07,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-08,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-09,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-10,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-13,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-14,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-15,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-16,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-17,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-21,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-22,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-23,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-24,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-27,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-28,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-29,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-30,put_credit_spread,0.0,0.0,0.0,1,186.8475
2020-01-31,put_credit_spread,107.87125,0.0,107.87125,2,294.71875
2020-02-03,put_credit_spread,88.5,0.0,88.5,1,383.21875
2020-02-04,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-05,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-06,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-07,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-10,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-11,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-12,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-13,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-14,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-18,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-19,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-20,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-21,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-24,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-25,put_credit_spread,0.0,0.0,0.0,1,383.21875
2020-02-26,put_credit_spread,-4.18875,0.0,-4.18875,2,379.03
2020-02-27,put_credit_spread,0.0,0.0,0.0,1,379.03
2020-02-28,put_credit_spread,-204.0,0.0,-204.0,1,175.02999999999997
2020-02-28,short_straddle,-3.1475,0.0,-3.1475,1,171.88249999999996
2020-03-02,put_credit_spread,0.0,0.0,0.0,1,171.88249999999996
2020-03-02,short_straddle,0.0,-0.80109,-0.80109,1,171.08140999999998
2020-03-03,put_credit_spread,0.0,0.0,0.0,1,171.08140999999998
2020-03-03,short_straddle,0.0,-46.380066,-46.380066,1,124.70134399999998
2020-03-04,put_credit_spread,0.0,0.0,0.0,1,124.70134399999998
2020-03-04,short_straddle,0.0,69.540161,69.540161,1,194.24150499999996
2020-03-05,put_credit_spread,0.0,0.0,0.0,1,194.24150499999996
2020-03-05,short_straddle,0.0,-56.580139,-56.580139,1,137.66136599999996
2020-03-06,put_credit_spread,0.0,0.0,0.0,1,137.66136599999996
2020-03-06,short_straddle,0.0,-15.659912,-15.659912,1,122.00145399999995
2020-03-09,put_credit_spread,0.0,0.0,0.0,1,122.00145399999995
2020-03-09,short_straddle,0.0,-120.780029,-120.780029,1,1.2214249999999538
2020-03-10,put_credit_spread,0.0,0.0,0.0,1,1.2214249999999538
2020-03-10,short_straddle,0.0,70.5,70.5,1,71.72142499999995
2020-03-11,put_credit_spread,-1355.0,0.0,-1355.0,1,-1283.278575
2020-03-11,short_straddle,0.0,-87.780029,-87.780029,1,-1371.058604
2020-03-12,put_credit_spread,0.0,0.0,0.0,1,-1371.058604
2020-03-12,short_straddle,0.0,-142.379974,-142.379974,1,-1513.438578
2020-03-13,put_credit_spread,0.0,0.0,0.0,1,-1513.438578
2020-03-13,short_straddle,-450.5,109.903215,-340.596785,1,-1854.035363
2020-03-16,put_credit_spread,0.0,0.0,0.0,1,-1854.035363
2020-03-16,short_straddle,0.0,2390.411289,2390.411289,1,536.3759260000002
2020-03-17,put_credit_spread,0.0,0.0,0.0,1,536.3759260000002
2020-03-17,short_straddle,0.0,65.879974,65.879974,1,602.2559000000001
2020-03-18,put_credit_spread,0.0,0.0,0.0,1,602.2559000000001
2020-03-18,short_straddle,0.0,-84.480011,-84.480011,1,517.7758890000001
2020-03-19,put_credit_spread,0.0,0.0,0.0,1,517.7758890000001
2020-03-19,short_straddle,0.0,11.519989,11.519989,1,529.2958780000001
2020-03-20,put_credit_spread,0.0,0.0,0.0,1,529.2958780000001
2020-03-20,short_straddle,0.0,-56.460022,-56.460022,1,472.83585600000015
2020-03-23,put_credit_spread,0.0,0.0,0.0,1,472.83585600000015
2020-03-23,short_straddle,0.0,-34.619934,-34.619934,1,438.21592200000015
2020-03-24,put_credit_spread,0.0,0.0,0.0,1,438.21592200000015
2020-03-24,short_straddle,0.0,123.059967,123.059967,1,561.2758890000001
2020-03-25,put_credit_spread,-2.88375,0.0,-2.88375,1,558.3921390000002
2020-03-25,short_straddle,-7.0715,31.883809,24.812309,2,583.2044480000002
2020-03-26,short_straddle,0.0,-0.67521,-0.67521,1,582.5292380000002
2020-03-27,short_straddle,67.5,-53.185407,14.314593,1,596.8438310000001
2020-03-30,put_credit_spread,-2.3115,0.0,-2.3115,1,594.5323310000001
2020-03-30,short_straddle,0.0,93.6076,93.6076,1,688.1399310000002
2020-03-31,put_credit_spread,0.0,0.0,0.0,1,688.1399310000002
2020-03-31,short_straddle,0.0,-23.220062,-23.220062,1,664.9198690000002
2020-04-01,put_credit_spread,0.0,0.0,0.0,1,664.9198690000002
2020-04-01,short_straddle,0.0,-59.099945,-59.099945,1,605.8199240000001
2020-04-02,put_credit_spread,0.0,0.0,0.0,1,605.8199240000001
2020-04-02,short_straddle,0.0,27.480011,27.480011,1,633.2999350000001
2020-04-03,put_credit_spread,0.0,0.0,0.0,1,633.2999350000001
2020-04-03,short_straddle,0.0,-20.160004,-20.160004,1,613.1399310000002
2020-04-06,put_credit_spread,0.0,0.0,0.0,1,613.1399310000002
2020-04-06,short_straddle,0.0,95.579956,95.579956,1,708.7198870000002
2020-04-07,put_credit_spread,0.0,0.0,0.0,1,708.7198870000002
2020-04-07,short_straddle,0.0,0.420044,0.420044,1,709.1399310000002
