run_id,date,strategy,symbol,trade_id,expiration,strike_short,strike_long,entry_credit,max_risk
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-10,put_credit_spread,DIA,put_credit_spread_DIA_000001,2019-06-07,255.0,242.5,1.93,1057.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-06,put_credit_spread,DIA,put_credit_spread_DIA_000002,2020-01-31,280.0,267.5,1.12,1138.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-31,put_credit_spread,DIA,put_credit_spread_DIA_000003,2020-02-28,277.5,262.5,2.575,1242.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-02-26,put_credit_spread,DIA,put_credit_spread_DIA_000004,2020-03-27,260.0,250.0,2.085,791.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-02-28,short_straddle,DIA,short_straddle_DIA_000005,2020-03-27,255.0,,22.95,2796.199951
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-03-25,short_straddle,DIA,short_straddle_DIA_000006,2020-04-24,212.5,,33.975,2120.599976
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-03-30,put_credit_spread,DIA,put_credit_spread_DIA_000007,2020-04-24,205.0,165.0,6.23,3377.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-04-13,put_credit_spread,DIA,put_credit_spread_DIA_000008,2020-05-08,220.0,199.0,3.685,1731.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-04-22,short_straddle,DIA,short_straddle_DIA_000009,2020-05-22,235.0,,22.325,2462.900085
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-05-08,put_credit_spread,DIA,put_credit_spread_DIA_000010,2020-06-05,234.0,215.0,2.7,1630.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-06-05,put_credit_spread,DIA,put_credit_spread_DIA_000011,2020-07-02,261.0,244.0,2.34,1466.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-07-01,put_credit_spread,DIA,put_credit_spread_DIA_000012,2020-07-31,247.0,225.0,3.37,1863.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-07-15,put_credit_spread,DIA,put_credit_spread_DIA_000013,2020-08-14,258.0,235.0,3.265,1973.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-08-14,put_credit_spread,DIA,put_credit_spread_DIA_000014,2020-09-11,269.0,252.0,2.105,1489.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-08-28,put_credit_spread,DIA,put_credit_spread_DIA_000015,2020-09-25,275.0,258.0,1.87,1513.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-09-23,put_credit_spread,DIA,put_credit_spread_DIA_000016,2020-10-23,260.0,240.0,3.235,1676.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-10-07,put_credit_spread,DIA,put_credit_spread_DIA_000017,2020-11-06,272.0,247.5,3.515,2098.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-10-28,short_straddle,DIA,short_straddle_DIA_000018,2020-11-27,265.0,,20.125,3297.10022
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-11-06,put_credit_spread,DIA,put_credit_spread_DIA_000019,2020-12-04,272.0,255.0,2.155,1484.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-11-23,put_credit_spread,DIA,put_credit_spread_DIA_000020,2020-12-18,284.0,272.0,1.515,1048.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-12-18,put_credit_spread,DIA,put_credit_spread_DIA_000021,2021-01-15,295.0,278.0,2.475,1452.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2021-01-15,put_credit_spread,DIA,put_credit_spread_DIA_000022,2021-02-12,296.0,282.5,1.675,1182.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2021-02-12,put_credit_spread,DIA,put_credit_spread_DIA_000023,2021-03-12,309.0,290.0,2.53,1647.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2021-03-12,put_credit_spread,DIA,put_credit_spread_DIA_000024,2021-04-09,322.0,302.5,3.015,1648.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2021-04-09,put_credit_spread,DIA,put_credit_spread_DIA_000025,2021-05-07,331.0,317.5,1.75,1175.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2021-05-07,put_credit_spread,DIA,put_credit_spread_DIA_000026,2021-06-04,341.0,327.0,1.82,1218.0
