date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2019-05-10,put_credit_spread,-2.0945,0.0,-2.0945,1,-2.0945
2019-05-13,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-14,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-15,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-16,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-17,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-20,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-21,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-22,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-23,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-24,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-28,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-29,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-30,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-05-31,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-06-03,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-06-04,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-06-05,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-06-06,put_credit_spread,0.0,0.0,0.0,1,-2.0945
2019-06-07,put_credit_spread,187.0,0.0,187.0,1,184.9055
2020-01-06,put_credit_spread,-2.0815,0.0,-2.0815,1,182.82399999999998
2020-01-07,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-08,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-09,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-10,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-13,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-14,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-15,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-16,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-17,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-21,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-22,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
2020-01-23,put_credit_spread,0.0,0.0,0.0,1,182.82399999999998
