run_id,date,strategy,symbol,trade_id,expiration,strike_short,strike_long,entry_credit,max_risk
sim_2019-02-09_2026-05-21_29c06ed80e5a,2019-05-10,put_credit_spread,SPY,put_credit_spread_SPY_000001,2019-06-07,282.5,268.0,1.89,1261.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-01-06,put_credit_spread,SPY,put_credit_spread_SPY_000002,2020-02-03,317.0,301.0,1.63,1437.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-02-03,put_credit_spread,SPY,put_credit_spread_SPY_000003,2020-03-02,318.0,301.0,2.495,1450.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-02-28,short_straddle,SPY,short_straddle_SPY_000004,2020-03-27,296.0,,24.93,3432.200195
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-03-02,put_credit_spread,SPY,put_credit_spread_SPY_000005,2020-03-30,287.0,265.0,2.95,1905.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-03-25,short_straddle,SPY,short_straddle_SPY_000006,2020-04-22,247.0,,32.095,2467.899933
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-03-30,put_credit_spread,SPY,put_credit_spread_SPY_000007,2020-04-27,246.0,205.0,6.545,3445.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-04-20,short_straddle,SPY,short_straddle_SPY_000008,2020-05-18,282.0,,23.27,3304.799927
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-04-27,put_credit_spread,SPY,put_credit_spread_SPY_000009,2020-05-26,276.0,245.0,4.175,2682.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-05-27,put_credit_spread,SPY,put_credit_spread_SPY_000010,2020-06-24,291.0,265.0,2.995,2300.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-06-24,put_credit_spread,SPY,put_credit_spread_SPY_000011,2020-07-22,292.0,265.0,3.945,2305.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-07-22,put_credit_spread,SPY,put_credit_spread_SPY_000012,2020-08-19,314.0,294.0,2.235,1776.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-08-19,put_credit_spread,SPY,put_credit_spread_SPY_000013,2020-09-16,330.0,305.0,2.95,2205.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-09-16,put_credit_spread,SPY,put_credit_spread_SPY_000014,2020-10-14,325.0,305.0,2.58,1742.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-10-14,put_credit_spread,SPY,put_credit_spread_SPY_000015,2020-11-11,335.0,315.0,2.995,1700.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-10-28,short_straddle,SPY,short_straddle_SPY_000016,2020-11-25,325.0,,26.475,3885.700073
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-11-11,put_credit_spread,SPY,put_credit_spread_SPY_000017,2020-12-09,350.0,320.0,3.775,2622.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2020-12-09,put_credit_spread,SPY,put_credit_spread_SPY_000018,2021-01-06,350.0,330.0,2.06,1794.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-01-06,put_credit_spread,SPY,put_credit_spread_SPY_000019,2021-02-03,366.0,336.0,3.89,2611.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-02-03,put_credit_spread,SPY,put_credit_spread_SPY_000020,2021-03-03,374.0,344.0,3.475,2652.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-03-03,put_credit_spread,SPY,put_credit_spread_SPY_000021,2021-03-31,366.0,334.0,3.65,2835.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-03-31,put_credit_spread,SPY,put_credit_spread_SPY_000022,2021-04-28,380.0,365.0,1.415,1358.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-04-28,put_credit_spread,SPY,put_credit_spread_SPY_000023,2021-05-26,410.0,385.0,2.935,2206.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-05-27,put_credit_spread,SPY,put_credit_spread_SPY_000024,2021-06-23,411.0,386.0,2.405,2259.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-06-23,put_credit_spread,SPY,put_credit_spread_SPY_000025,2021-07-21,415.0,395.0,2.12,1788.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-07-21,put_credit_spread,SPY,put_credit_spread_SPY_000026,2021-08-18,426.0,400.0,2.685,2331.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-08-18,put_credit_spread,SPY,put_credit_spread_SPY_000027,2021-09-15,430.0,395.0,3.73,3127.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-09-15,put_credit_spread,SPY,put_credit_spread_SPY_000028,2021-10-13,439.0,412.0,2.945,2405.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-10-11,put_credit_spread,SPY,put_credit_spread_SPY_000029,2021-11-08,426.0,400.0,3.845,2215.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-11-08,put_credit_spread,SPY,put_credit_spread_SPY_000030,2021-12-06,460.0,432.0,2.625,2537.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2021-12-08,put_credit_spread,SPY,put_credit_spread_SPY_000031,2022-01-05,460.0,432.0,3.61,2439.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-01-05,put_credit_spread,SPY,put_credit_spread_SPY_000032,2022-02-02,460.0,430.0,3.75,2625.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-01-31,put_credit_spread,SPY,put_credit_spread_SPY_000033,2022-02-28,432.0,405.0,3.385,2361.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-02-28,put_credit_spread,SPY,put_credit_spread_SPY_000034,2022-03-28,420.0,382.0,5.255,3274.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-03-28,put_credit_spread,SPY,put_credit_spread_SPY_000035,2022-04-25,447.0,420.0,3.46,2354.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-04-25,put_credit_spread,SPY,put_credit_spread_SPY_000036,2022-05-23,412.0,386.0,3.97,2203.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-05-23,put_credit_spread,SPY,put_credit_spread_SPY_000037,2022-06-21,381.0,358.0,3.985,1901.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-06-22,put_credit_spread,SPY,put_credit_spread_SPY_000038,2022-07-20,360.0,336.0,3.74,2026.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-07-06,put_credit_spread,SPY,put_credit_spread_SPY_000039,2022-08-03,368.0,345.0,3.695,1930.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-08-03,put_credit_spread,SPY,put_credit_spread_SPY_000040,2022-08-31,406.0,381.0,4.185,2081.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-08-29,put_credit_spread,SPY,put_credit_spread_SPY_000041,2022-09-26,386.0,360.0,3.53,2247.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-09-26,put_credit_spread,SPY,put_credit_spread_SPY_000042,2022-10-24,350.0,320.0,4.855,2514.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-10-24,put_credit_spread,SPY,put_credit_spread_SPY_000043,2022-11-21,364.0,341.0,4.1,1890.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-11-21,put_credit_spread,SPY,put_credit_spread_SPY_000044,2022-12-16,379.0,363.0,2.44,1356.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2022-12-16,put_credit_spread,SPY,put_credit_spread_SPY_000045,2023-01-13,376.0,352.0,4.335,1966.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-01-13,put_credit_spread,SPY,put_credit_spread_SPY_000046,2023-02-10,391.0,375.0,2.855,1314.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-02-10,put_credit_spread,SPY,put_credit_spread_SPY_000047,2023-03-10,400.0,375.0,4.03,2097.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-03-08,put_credit_spread,SPY,put_credit_spread_SPY_000048,2023-04-06,391.0,368.0,3.99,1901.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-04-10,put_credit_spread,SPY,put_credit_spread_SPY_000049,2023-05-05,401.0,385.0,2.48,1352.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-05-05,put_credit_spread,SPY,put_credit_spread_SPY_000050,2023-06-02,404.0,380.0,2.78,2122.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-06-02,put_credit_spread,SPY,put_credit_spread_SPY_000051,2023-06-30,419.0,402.0,1.815,1518.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-06-30,put_credit_spread,SPY,put_credit_spread_SPY_000052,2023-07-28,434.0,417.0,1.465,1553.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-07-28,put_credit_spread,SPY,put_credit_spread_SPY_000053,2023-08-25,448.0,430.0,1.655,1634.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-08-23,put_credit_spread,SPY,put_credit_spread_SPY_000054,2023-09-22,434.0,416.0,2.545,1545.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-09-22,put_credit_spread,SPY,put_credit_spread_SPY_000055,2023-10-20,422.0,405.0,2.465,1453.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-10-20,put_credit_spread,SPY,put_credit_spread_SPY_000056,2023-11-17,413.0,388.0,3.8,2120.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-11-17,put_credit_spread,SPY,put_credit_spread_SPY_000057,2023-12-15,442.0,424.0,1.915,1608.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2023-12-15,put_credit_spread,SPY,put_credit_spread_SPY_000058,2024-01-12,460.0,451.0,0.915,808.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2024-01-12,put_credit_spread,SPY,put_credit_spread_SPY_000059,2024-02-09,467.0,450.0,1.585,1541.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2024-02-09,put_credit_spread,SPY,put_credit_spread_SPY_000060,2024-03-08,491.0,481.0,1.11,889.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2024-03-08,put_credit_spread,SPY,put_credit_spread_SPY_000061,2024-04-05,501.0,481.0,2.115,1788.5
