Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-03T21:00:00Z,"SPY   200127P00309000",2020-01-28T05:00:00Z,Buy,0.64,0,1,-64,1,-64,39,103,0,"	2,11" 
2020-01-03T21:00:00Z,"SPY   200127P00320000",2020-01-28T05:00:00Z,Sell,1.68,0,1,168,1,-111.5,168,111.5,1,"	1,12" 
2020-01-03T21:00:00Z,"DIA   200131P00272500",2020-02-01T05:00:00Z,Buy,0.66,0,1,-66,1,-66,41,107,0,"	8,13" 
2020-01-03T21:00:00Z,"DIA   200131P00285000",2020-02-01T05:00:00Z,Sell,2.06,0,1,206,1,-119,206,230.5,0,"	7,14" 
2020-01-03T21:00:00Z,"GLD   200131P00139000",2020-02-01T05:00:00Z,Buy,0.21,0,1,-21,1,-21,0,21,0,"	10,15" 
2020-01-03T21:00:00Z,"GLD   200131P00142000",2020-02-01T05:00:00Z,Sell,0.8,0,1,80,1,0,80,13.5,1,"	9,16" 
2020-01-03T21:00:00Z,"IWM   200131P00155500",2020-02-01T05:00:00Z,Buy,0.44,0,1,-44,1,-44,10.5,54.5,0,"	4,17" 
2020-01-03T21:00:00Z,"IWM   200131P00162500",2020-02-01T05:00:00Z,Sell,1.3,0,1,130,1,-70,130,180,0,"	3,18" 
2020-01-03T21:00:00Z,"QQQ   200131P00201000",2020-02-01T05:00:00Z,Buy,0.6,0,1,-60,1,-60,22,82,0,"	6,19" 
2020-01-03T21:00:00Z,"QQQ   200131P00211000",2020-02-01T05:00:00Z,Sell,1.74,0,1,174,1,-75,174,75,1,"	5,20" 
2020-02-01T05:00:00Z,"IWM",2020-03-23T20:00:00Z,Buy,162.5,101.9,100,-6060,1,-6260,631,6891,0,"	18,59" 
2020-02-01T05:00:00Z,"DIA",2020-03-23T20:00:00Z,Buy,285,190.01,100,-9499,1,-9887,1072,10959,0,"	14,63" 
2020-02-04T21:00:00Z,"SPY   200228P00317000",2020-02-07T21:00:00Z,Sell,3.02,0.79,1,223,2,0,224,24,1,"	21,31" 
2020-02-04T21:00:00Z,"SPY   200228P00301000",2020-02-07T21:00:00Z,Buy,0.88,0.23,1,-65,2,-65,0,65,0,"	22,32" 
2020-02-04T21:00:00Z,"DIA   200228P00277500",2020-02-07T21:00:00Z,Sell,2.78,0.63,1,215,2,0,216.5,36.5,1,"	27,33" 
2020-02-04T21:00:00Z,"DIA   200228P00262500",2020-02-07T21:00:00Z,Buy,0.74,0.12,1,-62,2,-62,0,62,0,"	28,34" 
2020-02-04T21:00:00Z,"QQQ   200228P00216000",2020-02-11T21:00:00Z,Sell,2.26,0.5,1,176,2,0,180,18,1,"	25,35" 
2020-02-04T21:00:00Z,"QQQ   200228P00204000",2020-02-11T21:00:00Z,Buy,0.74,0.14,1,-60,2,-60.5,0,60.5,0,"	26,36" 
2020-02-04T21:00:00Z,"IWM   200228P00158000",2020-02-12T21:00:00Z,Sell,1.63,0.37,1,126,2,0,143,32,1,"	23,37" 
2020-02-04T21:00:00Z,"IWM   200228P00149500",2020-02-12T21:00:00Z,Buy,0.54,0.09,1,-45,2,-48.5,0,48.5,0,"	24,38" 
2020-02-04T21:00:00Z,"GLD   200228P00146500",2020-02-19T21:00:00Z,Sell,0.79,0.1,1,69,2,-77,71.5,77,1,"	29,39" 
2020-02-04T21:00:00Z,"GLD   200228P00143500",2020-02-19T21:00:00Z,Buy,0.21,0.02,1,-19,2,-19,26.5,45.5,0,"	30,40" 
2020-03-03T21:00:00Z,"GLD   200327P00146000",2020-03-05T21:00:00Z,Sell,1.22,0.32,1,90,2,0,95,5,1,"	49,51" 
2020-03-03T21:00:00Z,"GLD   200327P00140500",2020-03-05T21:00:00Z,Buy,0.36,0.12,1,-24,2,-24,0,24,0,"	50,52" 
2020-03-03T21:00:00Z,"DIA   200327P00255000",2020-03-23T04:00:00Z,Sell,5,0,1,500,1,-6030,500,6165,0,"	47,53" 
2020-03-03T21:00:00Z,"IWM   200327P00144000",2020-03-23T04:00:00Z,Sell,2.66,0,1,266,1,-4103.5,266,4165.5,0,"	43,54" 
2020-03-03T21:00:00Z,"QQQ   200327P00206000",2020-03-23T04:00:00Z,Sell,3.99,0,1,399,1,-3283,399,3347.5,0,"	45,55" 
2020-03-03T21:00:00Z,"SPY   200327P00296000",2020-03-23T04:00:00Z,Sell,5.45,0,1,545,1,-6221,545,6329.5,0,"	41,56" 
2020-03-03T21:00:00Z,"SPY   200327P00270000",2020-03-23T20:00:00Z,Buy,1.89,40.43,1,3854,2,-46,4657.5,1618,1,"	42,58" 
2020-03-03T21:00:00Z,"IWM   200327P00131000",2020-03-23T20:00:00Z,Buy,0.92,29.78,1,2886,2,-31,3073,776.5,1,"	44,60" 
2020-03-03T21:00:00Z,"QQQ   200327P00187500",2020-03-23T20:00:00Z,Buy,1.45,16.32,1,1487,2,-35,1994,959,1,"	46,62" 
2020-03-03T21:00:00Z,"DIA   200327P00230000",2020-03-23T20:00:00Z,Buy,1.72,37.4,1,3568,2,-66,4200.5,1215,1,"	48,64" 
2020-03-23T04:00:00Z,"SPY",2020-03-23T20:00:00Z,Buy,296,228,100,-6800,1,-7305,0,7305,0,"	56,57" 
2020-03-23T04:00:00Z,"IWM",2020-03-23T20:00:00Z,Buy,144,101.9,100,-4210,0,-4410,2481,4410,0,"	54,59" 
2020-03-23T04:00:00Z,"QQQ",2020-03-23T20:00:00Z,Buy,206,170.7,100,-3530,1,-3554,0,3554,0,"	55,61" 
2020-03-23T04:00:00Z,"DIA",2020-03-23T20:00:00Z,Buy,255,190.01,100,-6499,0,-6887,4072,6887,0,"	53,63" 
2020-04-02T20:00:00Z,"IWM   200501P00098000",2020-04-13T20:00:00Z,Sell,4.39,0.79,1,360,2,0,377,50,1,"	65,75" 
2020-04-02T20:00:00Z,"IWM   200501P00085000",2020-04-13T20:00:00Z,Buy,1.96,0.11,1,-185,2,-185.5,0,185.5,0,"	66,76" 
